,word,tf_idf,sponsor_id
0,bifia program,0.192886005037572,
1,bifia,0.192886005037572,
2,project,0.17757490053814193,
3,secured loan,0.14287590491188082,
4,assistant secretary,0.1294623905681643,
5,assistant,0.11271380473453932,
6,hydrogen,0.10557276719867978,
7,line credit,0.09678690332740314,
8,obligor,0.09647592488082851,
9,credit,0.08506020406661798,
10,bifia program,0.192886005037572,A000055
11,bifia,0.192886005037572,A000055
12,project,0.17757490053814193,A000055
13,secured loan,0.14287590491188082,A000055
14,assistant secretary,0.1294623905681643,A000055
15,assistant,0.11271380473453932,A000055
16,hydrogen,0.10557276719867978,A000055
17,line credit,0.09678690332740314,A000055
18,obligor,0.09647592488082851,A000055
19,credit,0.08506020406661798,A000055
20,bifia program,0.192886005037572,A000148
21,bifia,0.192886005037572,A000148
22,project,0.17757490053814193,A000148
23,secured loan,0.14287590491188082,A000148
24,assistant secretary,0.1294623905681643,A000148
25,assistant,0.11271380473453932,A000148
26,hydrogen,0.10557276719867978,A000148
27,line credit,0.09678690332740314,A000148
28,obligor,0.09647592488082851,A000148
29,credit,0.08506020406661798,A000148
30,bifia program,0.192886005037572,A000369
31,bifia,0.192886005037572,A000369
32,project,0.17757490053814193,A000369
33,secured loan,0.14287590491188082,A000369
34,assistant secretary,0.1294623905681643,A000369
35,assistant,0.11271380473453932,A000369
36,hydrogen,0.10557276719867978,A000369
37,line credit,0.09678690332740314,A000369
38,obligor,0.09647592488082851,A000369
39,credit,0.08506020406661798,A000369
40,bifia program,0.192886005037572,A000370
41,bifia,0.192886005037572,A000370
42,project,0.17757490053814193,A000370
43,secured loan,0.14287590491188082,A000370
44,assistant secretary,0.1294623905681643,A000370
45,assistant,0.11271380473453932,A000370
46,hydrogen,0.10557276719867978,A000370
47,line credit,0.09678690332740314,A000370
48,obligor,0.09647592488082851,A000370
49,credit,0.08506020406661798,A000370
50,bifia program,0.192886005037572,A000371
51,bifia,0.192886005037572,A000371
52,project,0.17757490053814193,A000371
53,secured loan,0.14287590491188082,A000371
54,assistant secretary,0.1294623905681643,A000371
